1,Audi A3 paragraphs 2020 to 35 TFSI Sportback VI aggressive countries,193200,turbo,1.4,Lead precursor,110,1.4 T 150 horsepower L4,Cruise control
2,Audi A4 2020 Avant avant-garde 40 TFSI kinetic model,341800,turbo,2,Lead precursor,140,2.0 T 190 horsepower L4,Cruise control adaptive cruise at full speed
3,Audi A5 Coupe 2020 paragraph 40 TFSI fashion type VI,379800,turbo,2,Lead precursor,140,2.0 T 190 horsepower L4,Cruise control
4,Audi A6 Avant 2020 paragraph avant-garde 40 TFSI luxurious movement type,449800,turbo,2,Lead precursor,140,2.0 T 190 horsepower L4,Cruise control adaptive cruise at full speed
5,Audi A7 2020 40 TFSI luxury,573800,turbo,2,Lead precursor,140,2.0 T 190 horsepower L4,Cruise control
6,Audi A8 paragraphs 2019 change Plus 50 TFSI A8L quattro comfort,838800,turbo,3,Front all-wheel-drive,-,3.0 T 286 horsepower V6,Adaptive cruise control full speed cruise
7,Audi S3 2019 S3 2.0 T Limousine,363800,turbo,2,Front all-wheel-drive,213,2.0 T 290 horsepower L4,Cruise control adaptive cruise
8,Audi S4 2018 S4 3.0 TFSI,459800,turbo,3,Front all-wheel-drive,260,3.0 T 354 horsepower V6,Cruise control
9,Audi S5 2017 S5 3.0 T Sportback,622800,turbo,3,Front all-wheel-drive,260,3.0 T 354 horsepower V6,Cruise control adaptive cruise at full speed
10,Audi S6 2020 S6 2.9 T,930000,Twin turbo,2.9,Front all-wheel-drive,-,2.9 T 450 horsepower V6,Adaptive cruise at full speed
11,Audi TT 2017 TT Coupe 40 TFSI,453800,turbo,1.8,Lead precursor,132,1.8 T 180 horsepower L4,Cruise control
12,Audi TTS 2017 TTS Coupe 2.0 TFSI quattro,597800,turbo,2,Front all-wheel-drive,210,2.0 T 286 horsepower L4,Cruise control
13,Audi E-tron 2019 type 55 quattro fashion,692800,-,-,Double motor all-wheel-drive,300,-,Cruise control
14,Audi Q3 2020 35 TFSI enterprising to type,271800,turbo,1.4,Lead precursor,110,1.4 T 150 horsepower L4,Cruise control
15,Audi Q5L 2020 40 TFSI rong aggressive,387800,turbo,2,Front all-wheel-drive,140,2.0 T 190 horsepower L4,Cruise control
16,Audi Q7 2020 45 TFSI quattro S limited edition line movement,689800,turbo,2,Front all-wheel-drive,180,2.0 T 245 horsepower L4,Cruise control
17,Audi R8 V10 in paragraph 2017 Coupe,1.9528 million,Naturally aspirated,5.2,Four-wheel drive of,397,5.2 L 540 horsepower V10,Cruise control
18,Audi TT RS 2017 TT RS 2.5 T Coupe,769800,turbo,2.5,Front all-wheel-drive,294,2.5 T 400 horsepower L5,Cruise control
